DISCIPLINE_ID,NAME,VALID_IN,START_AGE,END_AGE,BRONZE_FEMALE,SILVER_FEMALE,GOLD_FEMALE,BRONZE_MALE,SILVER_MALE,GOLD_MALE
1,hochsprung,2025,10,11,"00,80","00,90","01,00","00,85","00,95","01,05"
1,hochsprung,2025,12,13,"00,90","01,00","01,10","00,95","01,05","01,15"
1,hochsprung,2025,14,15,"00,95","01,05","01,15","01,10","01,20","01,30"
1,hochsprung,2025,16,17,"01,05","01,15","01,25","01,20","01,30","01,40"
2,zonenweitsprung,2025,6,7,18,21,24,18,21,24
2,zonenweitsprung,2025,8,9,24,27,30,27,30,33
3,weitsprung,2025,10,11,"02,30","02,60","02,90","02,60","02,90","03,20"
3,weitsprung,2025,12,13,"02,80","03,10","03,40","03,20","03,50","03,80"
3,weitsprung,2025,14,15,"03,20","03,50","03,80","03,80","04,10","04,40"
3,weitsprung,2025,16,17,"03,40","03,70","04,00","04,30","04,60","04,90"
4,drehwurf,2025,6,7,12,15,21,15,18,24
4,drehwurf,2025,8,9,18,21,27,21,27,33
4,drehwurf,2025,10,11,27,30,36,33,39,45
5,schleuderball (1 kg),2025,12,13,"17,00","19,50","22,00","19,50","24,00","27,50"
5,schleuderball (1 kg),2025,14,15,"19,50","22,50","25,50","23,50","28,00","32,00"
5,schleuderball (1 kg),2025,16,17,"22,00","25,00","28,00","27,50","32,00","36,50"
6,seilspringen,2025,10,11,20,30,40,20,30,40
7,seilspringen,2025,6,7,10,15,25,10,15,25
7,seilspringen,2025,8,9,10,15,25,10,15,25
9,seilspringen,2025,12,13,10,20,30,10,20,30
10,seilspringen,2025,14,15,10,15,20,10,15,20
10,seilspringen,2025,16,17,10,15,20,10,15,20
