DISCIPLINE_ID,VALID_IN,START_AGE,END_AGE,BRONZE_FEMALE,SILVER_FEMALE,GOLD_FEMALE,BRONZE_MALE,SILVER_MALE,GOLD_MALE
100,2020,6,7,5:40,5:00,4:15,5:40,5:00,4:15
100,2021,6,7,5:40,5:00,4:15,5:40,5:00,4:15
100,2022,6,7,5:40,5:00,4:15,5:40,5:00,4:15
100,2023,6,7,5:40,5:00,4:15,5:40,5:00,4:15
100,2024,6,7,5:40,5:00,4:15,5:40,5:00,4:15
100,2025,6,7,5:40,5:00,4:15,5:40,5:00,4:15
100,2020,8,9,5:35,4:50,4:10,5:25,4:40,3:55
100,2021,8,9,5:35,4:50,4:10,5:25,4:40,3:55
100,2022,8,9,5:35,4:50,4:10,5:25,4:40,3:55
100,2023,8,9,5:35,4:50,4:10,5:25,4:40,3:55
100,2024,8,9,5:35,4:50,4:10,5:25,4:40,3:55
100,2025,8,9,5:35,4:50,4:10,5:25,4:40,3:55
100,2020,10,11,5:20,4:40,4:00,5:05,4:20,3:35
100,2021,10,11,5:20,4:40,4:00,5:05,4:20,3:35
100,2022,10,11,5:20,4:40,4:00,5:05,4:20,3:35
100,2023,10,11,5:20,4:40,4:00,5:05,4:20,3:35
100,2024,10,11,5:20,4:40,4:00,5:05,4:20,3:35
100,2025,10,11,5:20,4:40,4:00,5:05,4:20,3:35
100,2020,12,13,5:10,4:25,3:45,4:45,4:00,3:15
100,2021,12,13,5:10,4:25,3:45,4:45,4:00,3:15
100,2022,12,13,5:10,4:25,3:45,4:45,4:00,3:15
100,2023,12,13,5:10,4:25,3:45,4:45,4:00,3:15
100,2024,12,13,5:10,4:25,3:45,4:45,4:00,3:15
100,2025,12,13,5:10,4:25,3:45,4:45,4:00,3:15
100,2020,14,15,5:00,4:20,3:35,4:20,3:40,3:00
100,2021,14,15,5:00,4:20,3:35,4:20,3:40,3:00
100,2022,14,15,5:00,4:20,3:35,4:20,3:40,3:00
100,2023,14,15,5:00,4:20,3:35,4:20,3:40,3:00
100,2024,14,15,5:00,4:20,3:35,4:20,3:40,3:00
100,2025,14,15,5:00,4:20,3:35,4:20,3:40,3:00
100,2020,15,17,4:50,4:05,3:25,4:05,3:25,2:45
100,2021,15,17,4:50,4:05,3:25,4:05,3:25,2:45
100,2022,15,17,4:50,4:05,3:25,4:05,3:25,2:45
100,2023,15,17,4:50,4:05,3:25,4:05,3:25,2:45
100,2024,15,17,4:50,4:05,3:25,4:05,3:25,2:45
100,2025,15,17,4:50,4:05,3:25,4:05,3:25,2:45
101,2020,6,7,8:00,12:00,17:00,10:00,15:00,20:00
101,2021,6,7,8:00,12:00,17:00,10:00,15:00,20:00
101,2022,6,7,8:00,12:00,17:00,10:00,15:00,20:00
101,2023,6,7,8:00,12:00,17:00,10:00,15:00,20:00
101,2024,6,7,8:00,12:00,17:00,10:00,15:00,20:00
101,2025,6,7,8:00,12:00,17:00,10:00,15:00,20:00
101,2020,8,9,10:00,15:00,20:00,12:00,17:00,23:00
101,2021,8,9,10:00,15:00,20:00,12:00,17:00,23:00
101,2022,8,9,10:00,15:00,20:00,12:00,17:00,23:00
101,2023,8,9,10:00,15:00,20:00,12:00,17:00,23:00
101,2024,8,9,10:00,15:00,20:00,12:00,17:00,23:00
101,2025,8,9,10:00,15:00,20:00,12:00,17:00,23:00
101,2020,10,11,15:00,20:00,30:00,17:00,25:00,35:00
101,2021,10,11,15:00,20:00,30:00,17:00,25:00,35:00
101,2022,10,11,15:00,20:00,30:00,17:00,25:00,35:00
